PO_ID,Item_ID,Supplier_ID,Quantity_Ordered,Unit_Price,Negotiated_Price,Currency,Order_Status,Defective_Units,Compliance,Payment_Terms,Order_Date
PO-000001,ITM-00182,SPL-0049,472,126.39,117.32,EUR,Cancelled,1,No,Net 45,1/1/2020
PO-000002,ITM-00127,SPL-0013,539,437.38,395.14,MXN,Delivered,6,Yes,Net 60,1/1/2020
PO-000003,ITM-00556,SPL-0074,208,234.19,202.57,CNY,Pending,8,Yes,Net 30,1/1/2020
PO-000004,ITM-00683,SPL-0018,643,116.5,111.46,USD,Pending,8,Yes,Net 45,1/1/2020
PO-000005,ITM-00068,SPL-0031,753,211.16,210.38,MXN,Partially Delivered,2,Yes,Net 60,1/2/2020
PO-000006,ITM-00253,SPL-0100,951,257.27,213.75,MXN,Delivered,0,Yes,Net 45,1/2/2020
PO-000007,ITM-00494,SPL-0050,226,305.88,263.5,USD,Cancelled,2,Yes,Net 30,1/2/2020
PO-000008,ITM-00502,SPL-0029,646,177.49,148.56,CNY,Partially Delivered,3,Yes,Net 45,1/3/2020
PO-000009,ITM-00299,SPL-0038,540,404.48,351.39,CNY,Cancelled,6,Yes,Net 45,1/3/2020
PO-000009,ITM-00299,SPL-0038,540,404.48,351.39,CNY,Cancelled,6,Yes,Net 45,1/3/2020
PO-000010,ITM-00660,SPL-0020,592,95.91,78.17,CNY,Pending,0,Yes,Net 60,1/4/2020
PO-000011,ITM-00488,SPL-0032,965,353.08,311.77,USD,Cancelled,2,Yes,Net 45,1/4/2020
PO-000012,ITM-00740,SPL-0087,789,213,208.67,USD,Cancelled,1,Yes,Net 60,1/4/2020
PO-000013,ITM-00791,SPL-0005,508,343.21,309.96,MXN,Partially Delivered,6,No,Net 60,1/5/2020
PO-000013,ITM-00791,SPL-0005,508,343.21,309.96,MXN,Partially Delivered,6,No,Net 60,1/5/2020
PO-000014,ITM-00687,SPL-0039,439,363.01,346.6,EUR,Cancelled,4,Yes,Net 30,1/5/2020
PO-000015,ITM-00337,SPL-0015,785,397.47,372.57,MXN,Cancelled,4,Yes,Net 30,1/6/2020
PO-000016,ITM-00955,SPL-0043,841,272.19,230.08,INR,Delivered,0,Yes,Net 45,1/6/2020
PO-000017,ITM-00318,SPL-0032,985,55.4,49.79,EUR,Partially Delivered,8,Yes,Net 30,1/6/2020
PO-000018,ITM-00072,SPL-0035,365,402.23,368.09,USD,Cancelled,3,Yes,Net 45,1/7/2020
PO-000018,ITM-00072,SPL-0035,365,402.23,368.09,USD,Cancelled,3,Yes,Net 45,1/7/2020
PO-000019,ITM-00368,SPL-0060,280,496.33,485.5,USD,Cancelled,5,Yes,Net 60,1/7/2020
PO-000020,ITM-00139,SPL-0082,110,156.92,156.82,MXN,Delivered,0,No,Net 30,1/8/2020
PO-000020,ITM-00139,SPL-0082,110,156.92,156.82,MXN,Delivered,0,No,Net 30,1/8/2020
PO-000021,ITM-00594,SPL-0043,960,455.57,418.68,EUR,Partially Delivered,1,Yes,Net 30,1/8/2020
PO-000022,ITM-00224,SPL-0036,435,349.58,299.99,INR,Delivered,4,Yes,Net 30,1/9/2020
PO-000023,ITM-00031,SPL-0029,357,119.31,108.23,CNY,Cancelled,8,Yes,Net 45,1/9/2020
PO-000024,ITM-00565,SPL-0022,67,321.98,293.21,EUR,Pending,5,Yes,Net 60,1/9/2020
PO-000024,ITM-00565,SPL-0022,67,321.98,293.21,EUR,Pending,5,Yes,Net 60,1/10/2020
