"po_id","item_id","supplier_id","quantity_ordered","unit_price","negotiated_price","currency","order_status","defective_units","compliance","payment_terms","order_date","current_stock","reorder_level","lead_time","item_name","item_category","brand","discontinued","supplier_name","country","preferred","rating","rate"
"PO-002578","ITM-00001","SPL-0009",584,"277.87","265.65","MXN","Partially Delivered",0,True,"Net 30","2022-10-25",946,171,30,"Item_1","Electronics","Brand_8",False,"Supplier_9","Germany",True,4,"0.05"
"PO-004454","ITM-00001","SPL-0058",16,"340.53","292.97","USD","Partially Delivered",7,True,"Net 45","2024-11-09",946,171,30,"Item_1","Electronics","Brand_8",False,"Supplier_58","Mexico",False,1,"1.00"
"PO-000859","ITM-00001","SPL-0008",301,"209.82","185.89","USD","Delivered",9,False,"Net 60","2020-12-15",946,171,30,"Item_1","Electronics","Brand_8",False,"Supplier_8","India",True,2,"1.00"
"PO-002766","ITM-00001","SPL-0038",594,"291.89","258.22","INR","Partially Delivered",0,True,"Net 60","2023-01-09",946,171,30,"Item_1","Electronics","Brand_8",False,"Supplier_38","India",False,4,"0.01"
"PO-001016","ITM-00001","SPL-0035",333,"76.76","69.78","USD","Partially Delivered",4,True,"Net 30","2021-02-14",946,171,30,"Item_1","Electronics","Brand_8",False,"Supplier_35","Mexico",True,4,"1.00"
"PO-000495","ITM-00001","SPL-0099",332,"106.74","92.93","MXN","Delivered",1,True,"Net 30","2020-07-19",946,171,30,"Item_1","Electronics","Brand_8",False,"Supplier_99","India",True,2,"0.05"
"PO-004781","ITM-00001","SPL-0011",59,"348.46","317.95","INR","Delivered",9,True,"Net 45","2025-03-22",946,171,30,"Item_1","Electronics","Brand_8",False,"Supplier_11","India",False,2,"0.01"
"PO-004310","ITM-00001","SPL-0060",790,"340.48","282.20","USD","Cancelled",6,True,"Net 45","2024-09-16",946,171,30,"Item_1","Electronics","Brand_8",False,"Supplier_60","USA",False,2,"1.00"
"PO-001849","ITM-00001","SPL-0065",552,"258.39","248.14","CNY","Pending",5,True,"Net 45","2022-01-11",946,171,30,"Item_1","Electronics","Brand_8",False,"Supplier_65","Mexico",True,3,"0.13"
"PO-004761","ITM-00002","SPL-0094",448,"121.79","101.35","INR","Partially Delivered",7,True,"Net 60","2025-03-13",442,143,30,"Item_2","Packaging","Brand_25",False,"Supplier_94","China",True,5,"0.01"
"PO-004147","ITM-00002","SPL-0001",237,"55.35","54.11","USD","Cancelled",5,True,"Net 30","2024-07-14",442,143,30,"Item_2","Packaging","Brand_25",False,"Supplier_1","Mexico",False,3,"1.00"
"PO-001314","ITM-00002","SPL-0038",516,"180.00","179.68","MXN","Partially Delivered",3,True,"Net 45","2021-06-14",442,143,30,"Item_2","Packaging","Brand_25",False,"Supplier_38","India",False,4,"0.05"
"PO-003525","ITM-00002","SPL-0025",461,"94.59","79.80","USD","Cancelled",0,True,"Net 60","2023-11-06",442,143,30,"Item_2","Packaging","Brand_25",False,"Supplier_25","Canada",False,1,"1.00"
